Lot_Num,n,defect_rate,mean_target,mean_thinF2,mean_thinF3,mean_thinF4,alert_3sigma,alert_2sigma
25,54,61.111111111111114,231.7037037037037,3673.296296296296,1537.9259259259259,347.462962962963,True,True
23,54,20.37037037037037,115.98148148148148,3643.074074074074,1456.2222222222222,239.05555555555554,False,False
19,54,14.814814814814813,99.0,3642.8888888888887,1449.0925925925926,232.11111111111111,False,False
5,54,11.11111111111111,112.98148148148148,3660.1111111111113,1500.4814814814815,341.25925925925924,False,False
29,54,11.11111111111111,86.01851851851852,3645.9444444444443,1408.9259259259259,219.38888888888889,False,False
14,54,11.11111111111111,114.22222222222223,3657.3703703703704,1507.2592592592594,385.7692307692308,False,False
30,54,11.11111111111111,70.11111111111111,3641.777777777778,1434.5555555555557,202.11111111111111,False,False
16,54,9.25925925925926,115.57407407407408,3657.814814814815,1524.1666666666667,355.14814814814815,False,False
4,54,7.4074074074074066,106.11111111111111,3660.1111111111113,1471.4074074074074,325.6296296296296,False,False
10,54,7.4074074074074066,98.70370370370371,3657.3703703703704,1475.1851851851852,344.85185185185185,False,False
20,54,7.4074074074074066,93.75925925925925,3638.3333333333335,1431.462962962963,219.85185185185185,False,False
1,54,7.4074074074074066,109.11111111111111,3655.4814814814813,1517.962962962963,357.0,False,False
12,54,5.555555555555555,101.12962962962963,3651.4444444444443,1508.5185185185185,369.25925925925924,False,False
8,54,3.7037037037037033,107.0,3657.740740740741,1459.2962962962963,363.5,False,False
11,54,3.7037037037037033,97.72222222222223,3653.3703703703704,1488.2592592592594,365.85185185185185,False,False
3,54,3.7037037037037033,117.14814814814815,3655.0,1495.4444444444443,371.85185185185185,False,False
31,54,3.7037037037037033,72.5,3644.9444444444443,1430.6296296296296,210.74074074074073,False,False
27,54,3.7037037037037033,107.87037037037037,3650.076923076923,1428.2307692307693,228.46153846153845,False,False
9,54,3.7037037037037033,117.33333333333333,3661.814814814815,1511.1851851851852,349.962962962963,False,False
13,54,3.7037037037037033,105.11111111111111,3652.5925925925926,1517.6296296296296,343.3076923076923,False,False
7,54,3.7037037037037033,104.14814814814815,3656.8888888888887,1470.2962962962963,359.037037037037,False,False
6,54,3.7037037037037033,98.51851851851852,3654.185185185185,1481.5925925925926,328.9259259259259,False,False
24,54,3.7037037037037033,78.07407407407408,3640.6666666666665,1409.962962962963,215.40740740740742,False,False
17,54,3.7037037037037033,96.46296296296296,3656.4444444444443,1490.4814814814815,364.48148148148147,False,False
26,54,3.7037037037037033,124.46296296296296,3665.6111111111113,1479.5185185185185,287.6111111111111,False,False
2,54,0.0,109.81481481481481,3656.5185185185187,1480.7407407407406,376.3703703703704,False,False
15,54,0.0,98.62962962962963,3657.3333333333335,1506.8703703703704,335.962962962963,False,False
18,54,0.0,40.22222222222222,3635.037037037037,1400.611111111111,154.33333333333334,False,False
21,54,0.0,91.0,3638.4814814814813,1422.1851851851852,212.22222222222223,False,False
22,54,0.0,76.33333333333333,3639.1111111111113,1435.867924528302,201.74074074074073,False,False
28,54,0.0,115.05555555555556,3658.0185185185187,1462.7222222222222,253.8148148148148,False,False
32,30,0.0,73.0,3653.4666666666667,1433.7666666666667,197.76666666666668,False,False
