시나리오,무엇을 바꿨나,영향 웨이퍼 비중,평균 Target,Chip Yield %,불량패턴 발생률 %,Yield 개선폭(%p),Target 감소율 %
베이스라인(현재),-,-,103.0680751173709,80.66265007178782,7.276995305164319,0.0,0.0
A: 식각잔막 리스크존 개선,Thin F2/F3/F4 모두 상위20% -> 스윗스팟 수준,2.2%,98.04451828340937,81.60515604438848,6.103286384976526,0.9425059726006566,4.874018291542597
"B: 노광 H-line -> G-line 전환 (Lot25 제외, 약한 신호)",UV_type H-line(Lot25 제외) -> G-line,30.4%,100.48860712351028,81.14660279108625,7.276995305164319,0.4839527192984292,2.5026837756727245
C: A+B(deconfounded) 동시 적용,위 둘 다,32.5%,95.63235459615765,82.05771958796292,6.103286384976526,1.3950695161750986,7.21437798537099
